IdBoca,CodigoInterno,DescripcionCortaDelArticulo,DescripcionLargaDelArticulo,CodigoEAN,Categoria,Subcategoria,PrecioActual,Fecha,marca
1667,2935,pack coca cola light 6x1.5lts,pack coca cola light 6x1.5lts,null,SHOP,SHOP - PRODUCTOS CON PRECIO ESPECIAL,"900,000000",2022-03-12,coca
1689,0102571,jumbo pack marlboro box,jumbo pack marlboro box,null,RUBRO GENERAL 2,CIGARRILLOS,183,2022-03-17,jumbo
1689,0103666,cerveza andes origen lata x pack 6 unida,cerveza andes origen lata x pack 6 unida,null,RUBRO GENERAL 2,BEBIDAS CON ALCOHOL,620,2022-03-17,andes origen
2014,0204787,* pack millas ar plus cw (6568) 1 un,* pack millas ar plus cw (6568) 1 un,null,SERVICLUB FRANQUICIA,SERVICLUB FRANQUICIA,0,2022-03-17,null
2014,0205682,* yogur ser pack x 2 pack x frambuesa 29,* yogur ser pack x 2 pack x frambuesa 290 gr,null,"LACTEOS, REFRIGERADOS Y CONGELADOS",YOGURES,0,2022-03-17,ser
1182,0100501,pack leã±a quebracho x10,pack leã±a quebracho x10,null,GENERAL,VARIOS P,550,2022-03-17,null
1576,0101239,cafe dolca suave pack x 170 gr,cafe dolca suave pack x 170 gr,7613034235374,RUBRO GENERAL,VARIOS Y FARMACIA,120,2022-03-17,dolca
1689,0102105,mega pack x 2 miga miga,mega pack x 2 miga miga,null,RUBRO GENERAL 2,SANDWICHS,10.25,2022-03-17,mega
2014,0115721,pack leche ilolay 12 un,pack leche ilolay 12 un,23914,PRODUCTOS ESENCIALES,LACTEOS,871,2022-03-17,ilolay
2014,0215723,pack leche tregar 12 un,pack leche tregar 12 un,null,PRODUCTOS ESENCIALES,LACTEOS,840,2022-03-17,tregar
2014,0603790,yogur ser batido pack x 2,yogur ser batido pack x 2,null,RUBRO GENERAL,ART. LACTEOS,6,2022-03-17,ser
2117,0303034,quilmes pack hincha en casa,quilmes pack hincha en casa,7792798010509,GENERAL,BEBIDAS Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â ,1100,2022-03-17,quilmes
1689,0102572,jumbo pack marlboro core,jumbo pack marlboro core,null,RUBRO GENERAL 2,CIGARRILLOS,220,2022-03-17,jumbo
1777,0202602,yerba cruz de malta eco pack 500 gr,yerba cruz de malta eco pack 500 gr,7790070507099,GONDOLA,ALMACEN,150,2022-03-17,cruz de malta
1777,0203019,pack metalico clash royale,pack metalico clash royale,2883,KIOSCO,REVISTAS,53,2022-03-17,null
2014,0115818,deli quilmes clasica 473cc pack x 6 un,deli quilmes clasica 473cc pack x 6 un,32632,BEBIDAS,BEBIDAS CON ALCOHOL,365,2022-03-17,deli
2014,0202896,* postre danette pack ddl 230 gr,* postre danette pack ddl 230 gr,null,"LACTEOS, REFRIGERADOS Y CONGELADOS",POSTRES LACTEOS,0,2022-03-17,danette
2014,0215721,pack leche ilolay 12 un,pack leche ilolay 12 un,null,PRODUCTOS ESENCIALES,LACTEOS,871,2022-03-17,ilolay
2014,2109715,free portapack promo lucky picc,free portapack promo lucky picc,9999301216,RUBRO GENERAL,RESIDUAL,0,2022-03-17,null
2057,0314994,mentos flowpack x 6 fruta,mentos flowpack x 6 fruta,null,GENERAL,GOLOSINAS,27,2022-03-18,mentos
656,0112150,dove acondicionador repues doy pack x180,dove acondicionador repues doy pack x180ml.,null,RUBRO GENERAL,HIGIENE PERSONAL,150,2022-03-17,dove
1576,0101886,postre ser pack  x 2 tentacion,postre ser pack x 2 tentacion,7791337303010,RUBRO GENERAL,LACTEOS,120,2022-03-17,ser
2014,0202199,* energizante speed four pack lata 1 un,* energizante speed four pack lata 1 un,null,BEBIDAS,ENERGIZANTES,0,2022-03-17,speed
2014,0205919,* yogurisimo 3 en 1 yogurisimo pack x 2,* yogurisimo 3 en 1 yogurisimo pack x 2 frutillas - cer -sem,null,"LACTEOS, REFRIGERADOS Y CONGELADOS",YOGURES,0,2022-03-17,yogurisimo
2014,0206641,*pack lamparas led 1 un,*pack lamparas led 1 un,null,ADMINISTRACIÃN TIENDAS,ADMIN TIENDAS,0,2022-03-17,null
2014,0215183,pack gase coca cola 1.5 lt reginald lee,pack gase coca cola 1.5 lt reginald lee 8 un,null,BEBIDAS,GASEOSAS,0,2022-03-17,coca
2014,0215279,pack bonaqua 1.5 lt 6 un,pack bonaqua 1.5 lt 6 un,null,BEBIDAS,AGUAS,0,2022-03-17,bonaqua
2014,0215196,* jabon liquido ace doy pack 800 ml,* jabon liquido ace doy pack 800 ml,null,GONDOLA,ALMACEN,185,2022-03-17,ace
2057,0317244,mentos flowpack x 6 menta,mentos flowpack x 6 menta,null,GENERAL,GOLOSINAS,27,2022-03-18,mentos
28,2370,jumbo pack marlboro forest fusion 60 box,jumbo pack marlboro forest fusion 60 box,null,TABACOS,MASSALIN PARTICULARES,"850,000000",2022-03-12,jumbo
1777,0201640,pack inicial panini,pack inicial panini,1567603267241,GENERAL,REVISTAS,455,2022-03-17,null
2014,0115816,deli stella artois rubia 473cc pack x 6,deli stella artois rubia 473cc pack x 6 un,32629,BEBIDAS,BEBIDAS CON ALCOHOL,530,2022-03-17,stella artois
2014,0115820,cerv andes roja 473cc pack x 6 un,cerv andes roja 473cc pack x 6 un,7792798002337,BEBIDAS,BEBIDAS CON ALCOHOL,0,2022-03-17,andes
2014,0205669,* ciga marlboro fusion box pack x 3 un,* ciga marlboro fusion box pack x 3 un,null,TABACO,CIGARRILLOS,0,2022-03-17,marlboro
2014,0215966,pack gase coca cola 1.5 lt femsa 8 un,pack gase coca cola 1.5 lt femsa 8 un,null,PRODUCTOS ESENCIALES,BEBIDAS,910,2022-03-17,coca
378,0103677,andes lata x 473 cc (pack x 6 unid.),andes lata x 473 cc (pack x 6 unid.),null,RUBRO GENERAL,BEBIDAS C/ALCOHOL,600,2022-03-17,andes
391,0301897,express pack x 3,express pack x 3,7790040946309,TIENDA,GALLETITAS,200,2022-03-17,express
656,0104899,galleta criollitas mas gran.pack x3 x507,galleta criollitas mas gran.pack x3 x507,7790040946200,RUBRO GENERAL,GALLETAS,18.271,2022-03-17,criollitas
840,1996,miga miga pack x 4,miga miga pack x 4,null,SHOP,FAST FOOD,"150,000000",2022-02-19,null
840,4537,danonino pack 161 gr,danonino pack 161 gr,7791337612723,SHOP,LACTEOS,"110,000000",2022-02-19,danonino
1432,0101743,alf capricho doypack x 12 unidades,alf capricho doypack x 12 unidades,7797675001922,ALFAJORES,GOLOSINAS,630,2022-03-17,null
146,2628,papel higienico elite simple pack x4,papel higienico elite simple pack x4,7790250912804,FARMACIA E HIGIENE,HIGIENE Y VARIOS,"220,000000",2021-09-25,elite
1667,2804,pack bonaqua 6x1.5lts,pack bonaqua 6x1.5lts,null,SHOP,SHOP - PRODUCTOS CON PRECIO ESPECIAL,"650,000000",2022-03-12,bonaqua
1777,0202290,pack inicial futbol argentino,pack inicial futbol argentino,8018190085884,KIOSCO,KIOSCO NO COMEST.,216,2022-03-17,argentino
2014,0203479,promo flan pack x $10.00 enfe14 1 un,promo flan pack x $10.00 enfe14 1 un,null,"LACTEOS, REFRIGERADOS Y CONGELADOS",POSTRES LACTEOS,0,2022-03-17,null
2014,0204847,* ciga lucky strike mix pack box picc 20,* ciga lucky strike mix pack box picc 20 un,null,TABACO,CIGARRILLOS,0,2022-03-17,lucky strike
1667,2779,pack lata fanta 6x310cc,pack lata fanta 6x310cc,null,SHOP,SHOP - PRODUCTOS CON PRECIO ESPECIAL,"350,000000",2022-03-12,fanta
1667,2781,pack lata schweppes tonica 6x310cc,pack lata schweppes tonica 6x310cc,null,SHOP,SHOP - PRODUCTOS CON PRECIO ESPECIAL,"350,000000",2022-03-12,schweppes
